Source,Target,None
1,892,{}
1,912,{}
1,943,{}
1,956,{}
1,988,{}
1,1006,{}
1,1024,{}
1,1220,{}
1,1245,{}
1,1278,{}
1,1299,{}
1,1582,{}
1,1676,{}
1,1701,{}
1,1763,{}
1,1783,{}
1,1847,{}
1,1864,{}
1,1950,{}
1,2477,{}
1,2511,{}
1,2809,{}
1,2827,{}
1,3409,{}
1,3547,{}
1,3602,{}
1,3647,{}
1,3734,{}
1,3831,{}
1,3937,{}
1,4083,{}
1,4155,{}
1,4303,{}
1,4326,{}
1,4466,{}
1,4555,{}
1,4660,{}
1,4810,{}
1,4829,{}
1,5006,{}
1,5094,{}
1,5146,{}
1,5149,{}
1,5152,{}
1,5160,{}
1,5357,{}
1,5522,{}
1,5679,{}
1,6085,{}
1,6706,{}
1,6778,{}
1,6801,{}
1,6823,{}
1,6973,{}
1,7320,{}
1,7775,{}
1,7891,{}
1,8011,{}
1,8057,{}
1,8255,{}
1,8440,{}
1,8467,{}
1,8530,{}
1,8619,{}
1,8953,{}
1,9103,{}
1,9133,{}
1,9159,{}
1,9689,{}
1,9694,{}
1,10249,{}
1,10378,{}
1,10445,{}
1,10460,{}
1,10708,{}
1,10761,{}
1,10958,{}
1,11535,{}
1,11692,{}
1,11920,{}
1,12183,{}
1,12229,{}
1,12336,{}
1,12797,{}
1,12973,{}
1,12986,{}
1,13239,{}
1,13265,{}
1,13323,{}
1,13430,{}
1,13594,{}
1,14228,{}
1,14309,{}
1,14473,{}
1,14628,{}
1,14949,{}
1,15068,{}
1,15188,{}
1,15290,{}
1,15555,{}
1,15699,{}
1,15797,{}
1,16070,{}
1,16330,{}
1,16824,{}
1,16958,{}
1,17056,{}
1,17294,{}
1,17421,{}
1,17599,{}
1,17756,{}
1,18059,{}
1,18138,{}
1,18277,{}
1,19158,{}
1,19271,{}
1,19610,{}
1,19636,{}
1,19696,{}
1,21309,{}
1,22079,{}
1,23196,{}
1,23638,{}
1,24623,{}
1,24890,{}
1,25111,{}
1,26279,{}
1,26791,{}
1,27308,{}
1,27435,{}
1,27922,{}
1,28126,{}
1,28210,{}
1,28316,{}
1,28977,{}
1,29129,{}
1,29445,{}
1,29692,{}
1,30181,{}
1,30460,{}
1,30524,{}
1,30725,{}
1,30779,{}
1,31239,{}
1,31426,{}
1,32364,{}
1,32480,{}
1,33625,{}
1,33895,{}
1,34007,{}
1,37762,{}
1,37784,{}
1,38238,{}
1,38324,{}
1,38490,{}
1,38651,{}
1,39099,{}
1,40353,{}
1,41834,{}
1,42074,{}
1,42192,{}
1,42762,{}
1,43752,{}
1,44828,{}
1,44981,{}
1,45136,{}
1,45638,{}
1,46897,{}
1,46955,{}
1,47492,{}
1,47620,{}
1,47642,{}
1,47744,{}
2,5,{}
2,7,{}
2,8,{}
2,14,{}
2,16,{}
2,18,{}
2,29,{}
2,43,{}
2,54,{}
2,68,{}
2,78,{}
2,81,{}
2,86,{}
2,91,{}
2,98,{}
2,106,{}
2,113,{}
2,117,{}
2,125,{}
2,143,{}
2,149,{}
2,153,{}
2,155,{}
2,189,{}
2,214,{}
2,236,{}
2,237,{}
2,244,{}
2,250,{}
2,254,{}
2,264,{}
2,271,{}
2,304,{}
2,305,{}
2,306,{}
2,330,{}
2,331,{}
2,345,{}
2,357,{}
2,385,{}
2,394,{}
2,401,{}
2,438,{}
2,456,{}
2,499,{}
2,521,{}
2,532,{}
2,558,{}
2,567,{}
2,571,{}
2,588,{}
2,633,{}
2,661,{}
2,681,{}
2,723,{}
2,754,{}
2,775,{}
2,802,{}
2,832,{}
2,893,{}
2,897,{}
2,899,{}
2,917,{}
2,922,{}
2,1016,{}
2,1037,{}
2,1064,{}
2,1090,{}
2,1155,{}
2,1190,{}
2,1290,{}
2,1292,{}
2,1349,{}
2,1361,{}
2,1379,{}
2,1447,{}
2,1481,{}
2,1488,{}
2,1500,{}
2,1575,{}
2,1581,{}
2,1709,{}
2,1759,{}
2,1761,{}
2,1765,{}
2,1883,{}
2,1896,{}
2,1938,{}
2,1972,{}
2,1991,{}
2,2110,{}
2,2144,{}
2,2274,{}
2,2279,{}
2,2403,{}
2,2470,{}
2,2582,{}
2,2685,{}
2,2700,{}
2,2703,{}
2,2709,{}
2,2728,{}
2,2784,{}
2,2801,{}
2,2861,{}
2,2895,{}
2,3006,{}
2,3111,{}
2,3206,{}
2,3213,{}
2,3324,{}
2,3356,{}
2,3413,{}
2,3637,{}
2,3663,{}
2,3711,{}
2,3719,{}
2,3747,{}
2,3905,{}
2,3975,{}
2,4035,{}
2,4064,{}
2,4156,{}
2,4160,{}
2,4297,{}
2,4601,{}
2,4649,{}
2,4719,{}
2,4775,{}
2,4881,{}
2,4912,{}
2,4931,{}
2,4958,{}
2,5042,{}
2,5406,{}
2,5418,{}
2,5514,{}
2,5518,{}
2,5934,{}
2,5951,{}
2,5957,{}
2,6027,{}
2,6061,{}
2,6089,{}
2,6341,{}
2,6408,{}
2,6468,{}
2,6496,{}
2,6563,{}
2,6570,{}
2,6656,{}
2,6971,{}
2,7137,{}
2,7209,{}
2,7412,{}
2,7418,{}
2,7476,{}
2,7586,{}
2,7623,{}
2,7678,{}
2,7693,{}
2,7720,{}
2,7837,{}
2,7915,{}
2,7918,{}
2,7952,{}
2,7988,{}
2,8220,{}
2,8382,{}
2,8576,{}
2,8629,{}
2,8630,{}
2,8758,{}
2,8783,{}
2,8840,{}
2,8902,{}
2,9059,{}
2,9085,{}
2,9281,{}
2,9373,{}
2,9507,{}
2,9533,{}
2,9749,{}
2,9779,{}
2,9926,{}
2,10171,{}
2,10479,{}
2,10568,{}
2,10681,{}
2,10711,{}
2,10742,{}
2,10744,{}
2,10935,{}
2,11020,{}
2,11026,{}
2,11074,{}
2,11202,{}
2,11291,{}
2,11310,{}
2,11424,{}
2,11480,{}
2,11495,{}
2,12120,{}
2,12572,{}
2,12601,{}
2,12837,{}
2,12849,{}
2,13043,{}
2,13085,{}
2,13205,{}
2,13409,{}
2,13579,{}
2,13668,{}
2,13678,{}
2,13816,{}
2,14184,{}
2,14669,{}
2,14742,{}
2,14759,{}
2,14811,{}
2,14816,{}
2,14960,{}
2,14989,{}
2,15152,{}
2,15219,{}
2,15486,{}
2,15487,{}
2,15801,{}
2,15823,{}
2,15861,{}
2,16013,{}
2,16118,{}
2,16239,{}
2,16380,{}
2,16438,{}
2,16515,{}
2,16549,{}
2,16590,{}
2,16919,{}
2,16950,{}
2,17124,{}
2,17299,{}
2,17581,{}
2,17810,{}
2,17842,{}
2,17998,{}
2,18025,{}
2,18209,{}
2,18568,{}
2,18585,{}
2,18857,{}
2,19017,{}
2,19036,{}
2,19148,{}
2,19384,{}
2,19606,{}
2,19790,{}
2,19926,{}
2,20043,{}
2,20270,{}
2,20344,{}
2,20876,{}
2,21027,{}
2,21235,{}
2,21341,{}
2,21533,{}
2,21927,{}
2,22123,{}
2,22266,{}
2,22572,{}
2,22601,{}
2,22985,{}
2,23189,{}
2,23271,{}
2,23595,{}
2,23935,{}
2,24184,{}
2,24365,{}
2,24505,{}
2,24520,{}
2,24757,{}
2,25138,{}
2,25194,{}
2,25231,{}
2,25260,{}
2,25267,{}
2,25940,{}
2,25984,{}
2,26378,{}
2,26390,{}
2,26393,{}
2,26578,{}
2,26780,{}
2,26825,{}
2,26969,{}
2,27064,{}
2,27114,{}
2,27190,{}
2,27677,{}
2,27687,{}
2,27783,{}
2,27915,{}
2,27971,{}
2,28321,{}
2,28342,{}
2,28400,{}
2,28518,{}
2,28541,{}
2,28716,{}
2,29017,{}
2,29052,{}
2,29067,{}
2,29380,{}
2,29393,{}
2,29401,{}
2,29413,{}
2,29809,{}
2,29931,{}
2,30009,{}
2,30040,{}
2,30176,{}
2,30609,{}
2,30993,{}
2,31109,{}
2,31111,{}
2,31203,{}
2,31259,{}
2,31589,{}
2,31650,{}
2,31838,{}
2,32015,{}
2,32244,{}
2,32347,{}
2,33015,{}
2,33184,{}
2,33885,{}
2,33946,{}
2,33961,{}
2,33983,{}
2,34183,{}
2,34307,{}
2,34381,{}
2,34383,{}
2,34673,{}
2,34683,{}
2,34892,{}
2,34991,{}
2,35031,{}
2,35371,{}
2,35536,{}
2,35559,{}
2,35822,{}
2,35904,{}
2,35945,{}
2,36216,{}
2,36331,{}
2,36468,{}
2,36699,{}
2,36722,{}
2,36810,{}
2,36871,{}
2,36998,{}
2,37137,{}
2,37179,{}
2,37259,{}
2,37642,{}
2,38052,{}
2,38210,{}
2,38431,{}
2,38469,{}
2,38476,{}
2,38603,{}
2,38620,{}
2,38903,{}
2,39455,{}
2,39729,{}
2,39782,{}
2,40057,{}
2,40553,{}
2,40989,{}
2,41436,{}
2,41453,{}
2,41515,{}
2,41535,{}
2,41921,{}
2,41941,{}
2,42032,{}
2,42036,{}
2,42480,{}
2,43259,{}
2,43666,{}
2,43768,{}
2,44154,{}
2,44345,{}
2,44523,{}
2,44602,{}
2,44749,{}
2,44909,{}
2,45021,{}
2,45466,{}
2,45536,{}
2,45662,{}
2,45663,{}
2,45681,{}
2,45911,{}
2,46270,{}
2,46703,{}
2,46716,{}
2,46919,{}
2,47237,{}
2,47335,{}
2,47521,{}
2,48147,{}
2,48198,{}
2,48244,{}
2,48261,{}
2,48326,{}
2,48805,{}
2,48891,{}
2,49299,{}
2,49396,{}
2,49609,{}
2,49873,{}
3,5,{}
3,6,{}
3,7,{}
3,8,{}
3,9,{}
3,10,{}
3,11,{}
3,12,{}
3,15,{}
3,16,{}
3,22,{}
3,23,{}
3,29,{}
3,35,{}
3,59,{}
3,61,{}
3,68,{}
3,72,{}
3,84,{}
3,100,{}
3,111,{}
3,112,{}
3,163,{}
3,174,{}
3,193,{}
3,209,{}
3,227,{}
3,322,{}
3,364,{}
3,440,{}
3,454,{}
3,517,{}
3,527,{}
3,555,{}
3,566,{}
3,594,{}
3,657,{}
3,670,{}
3,671,{}
3,676,{}
3,694,{}
3,781,{}
3,789,{}
3,814,{}
3,872,{}
3,913,{}
3,987,{}
3,1008,{}
3,1064,{}
3,1066,{}
3,1089,{}
3,1107,{}
3,1119,{}
3,1120,{}
3,1266,{}
3,1360,{}
3,1368,{}
3,1388,{}
3,1431,{}
3,1456,{}
3,1478,{}
3,1498,{}
3,1526,{}
3,1549,{}
3,1599,{}
3,1612,{}
3,1614,{}
3,1658,{}
3,1675,{}
3,1686,{}
3,1687,{}
3,1727,{}
3,1736,{}
3,1790,{}
3,1924,{}
3,1973,{}
3,2033,{}
3,2067,{}
3,2124,{}
3,2300,{}
3,2393,{}
3,2403,{}
3,2457,{}
3,2558,{}
3,2588,{}
3,2635,{}
3,2786,{}
3,2840,{}
3,2850,{}
3,2869,{}
3,2880,{}
3,2886,{}
3,2955,{}
3,3044,{}
3,3046,{}
3,3116,{}
3,3160,{}
3,3357,{}
3,3403,{}
3,3554,{}
3,3738,{}
3,3842,{}
3,3872,{}
3,3958,{}
3,3995,{}
3,4143,{}
3,4281,{}
3,4351,{}
3,4448,{}
3,4472,{}
3,4636,{}
3,4688,{}
3,4698,{}
3,4824,{}
3,5057,{}
3,5199,{}
3,5223,{}
3,5231,{}
3,5290,{}
3,5309,{}
3,5388,{}
3,5406,{}
3,5464,{}
3,5488,{}
3,5560,{}
3,5565,{}
3,5584,{}
3,5620,{}
3,5745,{}
3,5819,{}
3,5900,{}
3,5963,{}
3,5970,{}
3,5997,{}
3,6118,{}
3,6162,{}
3,6213,{}
3,6371,{}
3,6400,{}
3,6437,{}
3,6707,{}
3,6730,{}
3,6830,{}
3,6837,{}
3,6863,{}
3,6950,{}
3,6954,{}
3,6986,{}
3,7024,{}
3,7057,{}
3,7254,{}
3,7343,{}
3,7578,{}
3,7616,{}
3,7647,{}
3,7658,{}
3,7686,{}
3,7718,{}
3,7993,{}
3,8052,{}
3,8093,{}
3,8460,{}
3,8646,{}
3,8965,{}
3,9036,{}
3,9047,{}
3,9249,{}
3,9292,{}
3,9332,{}
3,9532,{}
3,9628,{}
3,9685,{}
3,9715,{}
3,9808,{}
3,9938,{}
3,10021,{}
3,10388,{}
3,10477,{}
3,10552,{}
3,10791,{}
3,10937,{}
3,10978,{}
3,11011,{}
3,11023,{}
3,11424,{}
3,11527,{}
3,11625,{}
3,11706,{}
3,11712,{}
3,11719,{}
3,11797,{}
3,12032,{}
3,12359,{}
3,12566,{}
3,12639,{}
3,12724,{}
3,12795,{}
3,13230,{}
3,13403,{}
3,13404,{}
3,13445,{}
3,13629,{}
3,13665,{}
3,13831,{}
3,13840,{}
3,14045,{}
3,14208,{}
3,14268,{}
3,14382,{}
3,14466,{}
3,14565,{}
3,14632,{}
3,14805,{}
3,15299,{}
3,15705,{}
3,15904,{}
3,16072,{}
3,16101,{}
3,16169,{}
3,16187,{}
3,16295,{}
3,16399,{}
3,16555,{}
3,16567,{}
3,17285,{}
3,17410,{}
3,17662,{}
3,18326,{}
3,18369,{}
3,18412,{}
3,18641,{}
3,18713,{}
3,18786,{}
3,18818,{}
3,19146,{}
3,19349,{}
3,19362,{}
3,19774,{}
3,20426,{}
3,20538,{}
3,20826,{}
3,21128,{}
3,21166,{}
3,21365,{}
3,21404,{}
3,21438,{}
3,21498,{}
3,21741,{}
3,21788,{}
3,21850,{}
3,21859,{}
3,21985,{}
3,21990,{}
3,22229,{}
3,22790,{}
3,22845,{}
3,23072,{}
3,23133,{}
3,23275,{}
3,23403,{}
3,23718,{}
3,24512,{}
3,24781,{}
3,24896,{}
3,25576,{}
3,25992,{}
3,26047,{}
3,26192,{}
3,26223,{}
3,26340,{}
3,26722,{}
3,26751,{}
3,26791,{}
3,26955,{}
3,26958,{}
3,27133,{}
3,27337,{}
3,27536,{}
3,27760,{}
3,27847,{}
3,27900,{}
3,28623,{}
3,28879,{}
3,29155,{}
3,29450,{}
3,29646,{}
3,29713,{}
3,29765,{}
3,30312,{}
3,30443,{}
3,30940,{}
3,30945,{}
3,30991,{}
3,31170,{}
3,31203,{}
3,31249,{}
3,31424,{}
3,31435,{}
3,31586,{}
3,31587,{}
3,32295,{}
3,32350,{}
3,33290,{}
3,33482,{}
3,33588,{}
3,33785,{}
3,34008,{}
3,34145,{}
3,35171,{}
3,35435,{}
3,35899,{}
3,36050,{}
3,36426,{}
3,36625,{}
3,36694,{}
3,36726,{}
3,36867,{}
3,37039,{}
3,37453,{}
3,37498,{}
3,37571,{}
3,37588,{}
3,37618,{}
3,37906,{}
3,38152,{}
3,38191,{}
3,39058,{}
3,39343,{}
3,39771,{}
3,39917,{}
3,40031,{}
3,40085,{}
3,40452,{}
3,41081,{}
3,41130,{}
3,41385,{}
3,41472,{}
3,41481,{}
3,41982,{}
3,42050,{}
3,42887,{}
3,42990,{}
3,43148,{}
3,43408,{}
3,43654,{}
3,43870,{}
3,44414,{}
3,45701,{}
3,45942,{}
3,46222,{}
3,46544,{}
3,46666,{}
3,46869,{}
3,46888,{}
3,46956,{}
3,46960,{}
3,47067,{}
3,47664,{}
3,47675,{}
3,47750,{}
3,48018,{}
3,48039,{}
3,48347,{}
3,48427,{}
3,48658,{}
3,48923,{}
3,48965,{}
3,49216,{}
3,49397,{}
3,49800,{}
3,49873,{}
4,5,{}
4,6,{}
4,7,{}
4,8,{}
4,11,{}
4,12,{}
4,14,{}
4,15,{}
4,19,{}
4,21,{}
4,22,{}
4,24,{}
4,25,{}
4,27,{}
4,28,{}
4,30,{}
4,32,{}
4,33,{}
4,36,{}
4,38,{}
4,39,{}
4,47,{}
4,48,{}
4,50,{}
4,52,{}
4,60,{}
4,63,{}
4,73,{}
4,75,{}
4,78,{}
4,79,{}
4,87,{}
4,96,{}
4,102,{}
4,109,{}
4,113,{}
4,114,{}
4,118,{}
4,120,{}
4,122,{}
4,125,{}
4,128,{}
4,129,{}
4,138,{}
4,139,{}
4,141,{}
4,145,{}
4,146,{}
4,148,{}
4,155,{}
4,159,{}
4,168,{}
4,170,{}
4,172,{}
4,175,{}
4,176,{}
4,178,{}
4,191,{}
4,204,{}
4,211,{}
4,214,{}
4,221,{}
4,233,{}
4,235,{}
4,239,{}
4,250,{}
4,257,{}
4,259,{}
4,262,{}
4,272,{}
4,274,{}
4,282,{}
4,298,{}
4,302,{}
4,309,{}
4,315,{}
4,322,{}
4,325,{}
4,358,{}
4,369,{}
4,381,{}
4,387,{}
4,396,{}
4,416,{}
4,425,{}
4,427,{}
4,434,{}
4,445,{}
4,451,{}
4,456,{}
4,461,{}
4,490,{}
4,493,{}
4,498,{}
4,504,{}
4,506,{}
4,532,{}
4,544,{}
4,581,{}
4,626,{}
4,630,{}
4,635,{}
4,642,{}
4,660,{}
4,662,{}
4,663,{}
4,670,{}
4,684,{}
4,693,{}
4,708,{}
4,723,{}
4,730,{}
4,739,{}
4,750,{}
4,770,{}
4,776,{}
4,809,{}
4,824,{}
4,832,{}
4,837,{}
4,840,{}
4,865,{}
4,881,{}
4,904,{}
4,944,{}
4,957,{}
4,967,{}
4,1004,{}
4,1008,{}
4,1010,{}
4,1085,{}
4,1093,{}
4,1097,{}
4,1098,{}
4,1119,{}
4,1139,{}
4,1178,{}
4,1221,{}
4,1237,{}
4,1264,{}
4,1283,{}
4,1301,{}
4,1313,{}
4,1321,{}
4,1339,{}
4,1345,{}
4,1365,{}
4,1431,{}
4,1459,{}
4,1487,{}
4,1505,{}
4,1506,{}
4,1586,{}
4,1595,{}
4,1599,{}
4,1642,{}
4,1644,{}
4,1657,{}
4,1696,{}
4,1743,{}
4,1771,{}
4,1815,{}
4,1895,{}
4,1903,{}
4,1908,{}
4,1948,{}
4,1960,{}
4,1967,{}
4,2024,{}
4,2026,{}
4,2029,{}
4,2068,{}
4,2109,{}
4,2120,{}
4,2123,{}
4,2126,{}
4,2129,{}
4,2145,{}
4,2151,{}
4,2161,{}
4,2189,{}
4,2225,{}
4,2233,{}
4,2235,{}
4,2239,{}
4,2243,{}
4,2278,{}
4,2283,{}
4,2296,{}
4,2305,{}
4,2306,{}
4,2345,{}
4,2366,{}
4,2369,{}
4,2378,{}
4,2383,{}
4,2391,{}
4,2395,{}
4,2465,{}
4,2473,{}
4,2491,{}
4,2519,{}
4,2529,{}
4,2563,{}
4,2590,{}
4,2617,{}
4,2651,{}
4,2678,{}
4,2706,{}
4,2711,{}
4,2761,{}
4,2774,{}
4,2797,{}
4,2840,{}
4,2841,{}
4,2903,{}
4,2918,{}
4,2926,{}
4,2945,{}
4,2966,{}
4,2984,{}
4,2989,{}
4,2991,{}
4,2999,{}
4,3010,{}
4,3027,{}
4,3050,{}
4,3059,{}
4,3086,{}
4,3097,{}
4,3115,{}
4,3152,{}
4,3189,{}
4,3263,{}
4,3274,{}
4,3294,{}
4,3327,{}
4,3339,{}
4,3352,{}
4,3363,{}
4,3385,{}
4,3413,{}
4,3441,{}
4,3569,{}
4,3573,{}
4,3581,{}
4,3588,{}
4,3599,{}
4,3627,{}
4,3662,{}
4,3677,{}
4,3702,{}
4,3709,{}
4,3715,{}
4,3722,{}
4,3741,{}
4,3850,{}
4,3863,{}
4,3870,{}
4,3953,{}
4,3991,{}
4,3996,{}
4,4051,{}
4,4122,{}
4,4155,{}
4,4163,{}
4,4185,{}
4,4195,{}
4,4246,{}
4,4254,{}
4,4276,{}
4,4315,{}
4,4437,{}
4,4461,{}
4,4492,{}
4,4494,{}
4,4541,{}
4,4641,{}
4,4700,{}
4,4746,{}
4,4751,{}
4,4758,{}
4,4790,{}
4,4806,{}
4,4830,{}
4,4833,{}
4,4861,{}
4,4871,{}
4,4902,{}
4,4914,{}
4,4939,{}
4,5038,{}
4,5039,{}
4,5061,{}
4,5114,{}
4,5126,{}
4,5133,{}
4,5183,{}
4,5226,{}
4,5317,{}
4,5438,{}
4,5476,{}
4,5496,{}
4,5541,{}
4,5567,{}
4,5587,{}
4,5626,{}
4,5683,{}
4,5685,{}
4,5686,{}
4,5709,{}
4,5802,{}
4,5837,{}
4,5839,{}
4,5864,{}
4,5869,{}
4,5908,{}
4,5913,{}
4,5972,{}
4,6009,{}
4,6047,{}
4,6056,{}
4,6110,{}
4,6179,{}
4,6186,{}
4,6208,{}
4,6261,{}
4,6263,{}
4,6284,{}
4,6302,{}
4,6308,{}
4,6312,{}
4,6346,{}
4,6355,{}
4,6381,{}
4,6423,{}
4,6510,{}
4,6558,{}
4,6580,{}
4,6588,{}
4,6637,{}
4,6658,{}
4,6696,{}
4,6753,{}
4,6765,{}
4,6782,{}
4,6797,{}
4,6905,{}
4,6943,{}
4,6947,{}
4,6968,{}
4,7003,{}
4,7029,{}
4,7049,{}
4,7061,{}
4,7250,{}
4,7253,{}
4,7313,{}
4,7374,{}
4,7424,{}
4,7426,{}
4,7437,{}
4,7469,{}
4,7470,{}
4,7479,{}
4,7491,{}
4,7530,{}
4,7571,{}
4,7632,{}
4,7655,{}
4,7698,{}
4,7791,{}
4,7809,{}
4,7852,{}
4,7927,{}
4,7945,{}
4,8004,{}
4,8032,{}
4,8045,{}
4,8108,{}
4,8172,{}
4,8243,{}
4,8293,{}
4,8472,{}
4,8474,{}
4,8591,{}
4,8694,{}
4,8703,{}
4,8849,{}
4,8892,{}
4,8910,{}
4,8913,{}
4,9007,{}
4,9110,{}
4,9118,{}
4,9144,{}
4,9187,{}
4,9265,{}
4,9354,{}
4,9423,{}
4,9444,{}
4,9515,{}
4,9569,{}
4,9597,{}
4,9602,{}
4,9743,{}
4,9764,{}
4,9935,{}
4,9987,{}
4,10022,{}
4,10072,{}
4,10087,{}
4,10133,{}
4,10159,{}
4,10193,{}
4,10195,{}
4,10203,{}
4,10219,{}
4,10225,{}
4,10252,{}
4,10282,{}
4,10298,{}
4,10364,{}
4,10376,{}
4,10380,{}
4,10402,{}
4,10406,{}
4,10407,{}
4,10411,{}
4,10450,{}
4,10452,{}
4,10453,{}
4,10526,{}
4,10717,{}
4,10734,{}
4,10813,{}
4,10857,{}
4,10895,{}
4,10996,{}
4,11055,{}
4,11148,{}
4,11280,{}
4,11286,{}
4,11312,{}
4,11385,{}
4,11461,{}
4,11515,{}
4,11588,{}
4,11598,{}
4,11623,{}
4,11879,{}
4,11892,{}
4,12011,{}
4,12046,{}
4,12049,{}
4,12054,{}
4,12066,{}
4,12268,{}
4,12312,{}
4,12349,{}
4,12387,{}
4,12445,{}
4,12517,{}
4,12703,{}
4,12784,{}
4,12797,{}
4,12800,{}
4,12862,{}
4,12886,{}
4,12969,{}
4,13058,{}
4,13071,{}
4,13099,{}
4,13233,{}
4,13321,{}
4,13328,{}
4,13339,{}
4,13363,{}
4,13423,{}
4,13438,{}
4,13543,{}
4,13544,{}
4,13708,{}
4,13752,{}
4,13797,{}
4,13837,{}
4,13897,{}
4,13908,{}
4,13919,{}
4,13931,{}
4,13938,{}
4,13969,{}
4,14037,{}
4,14225,{}
4,14282,{}
4,14405,{}
4,14407,{}
4,14468,{}
4,14471,{}
4,14553,{}
4,14598,{}
4,14753,{}
4,14852,{}
4,14898,{}
4,14905,{}
4,15084,{}
4,15103,{}
4,15121,{}
4,15223,{}
4,15246,{}
4,15477,{}
4,15514,{}
4,15515,{}
4,15663,{}
4,15700,{}
4,15718,{}
4,15887,{}
4,15978,{}
4,15999,{}
4,16013,{}
4,16102,{}
4,16143,{}
4,16152,{}
4,16155,{}
4,16157,{}
4,16188,{}
4,16216,{}
4,16240,{}
4,16371,{}
4,16413,{}
4,16471,{}
4,16476,{}
4,16621,{}
4,16651,{}
4,16659,{}
4,16680,{}
4,16731,{}
4,16763,{}
4,16767,{}
4,16830,{}
4,17133,{}
4,17153,{}
4,17179,{}
4,17437,{}
4,17448,{}
4,17455,{}
4,17571,{}
4,17591,{}
4,17740,{}
4,17787,{}
4,17920,{}
4,18165,{}
4,18176,{}
4,18424,{}
4,18448,{}
4,18632,{}
4,18671,{}
4,18682,{}
4,18939,{}
4,18950,{}
4,19033,{}
4,19099,{}
4,19133,{}
4,19287,{}
4,19479,{}
4,19606,{}
4,19671,{}
4,19735,{}
4,19820,{}
4,19864,{}
4,19894,{}
4,19965,{}
4,19973,{}
4,20106,{}
4,20212,{}
4,20214,{}
4,20221,{}
4,20268,{}
4,20309,{}
4,20314,{}
4,20404,{}
4,20442,{}
4,20481,{}
4,20661,{}
4,20861,{}
4,20914,{}
4,20962,{}
4,21004,{}
4,21051,{}
4,21090,{}
4,21097,{}
4,21125,{}
4,21149,{}
4,21201,{}
4,21286,{}
4,21386,{}
4,21396,{}
4,21414,{}
4,21508,{}
4,21536,{}
4,21613,{}
4,21673,{}
4,21743,{}
4,21746,{}
4,21848,{}
4,21857,{}
4,21891,{}
4,21918,{}
4,21991,{}
4,22051,{}
4,22255,{}
4,22320,{}
4,22334,{}
4,22385,{}
4,22404,{}
